,make, model, price, year, km_used, fuel_type, mileage, transmission, color, fuel_economy, no_of_owners, registered_at, condition, overall_condition, engine_condition, suspension_condition, brakes_condition, electrical_condition, ac_condition, exterior_condition, interior_condition, tyre_condition
4030,2012 Mahindra XUV500,W8,₹ 5.5 Lakh,Jun-12,"92,000 km",Diesel,15.1 kmpl,Manual,White,Not Available,Second,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Alloy Wheels, Finance Available, Service History Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4031,2017 Toyota Fortuner,2.8 4x2 AT [2016-2020],₹ 30.9 Lakh,Jun-17,"1,42,000 km",Diesel,12.9 kmpl,Automatic,White,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Push Button Start,  Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Test Drive Available & Service History Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4032,2015 Maruti Suzuki Baleno,Alpha 1.3,₹ 6.2 Lakh,Jun-15,"78,000 km",Diesel,27.39 kmpl,Manual,Blue,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Test Drive Available & Rear view Camera",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4033,2014 BMW 3-Series,320d Luxury Line,₹ 17.5 Lakh,Jun-14,"65,000 km",Diesel,22.69 kmpl,Automatic,Blue,Not Available,Second,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Alloy Wheels, Finance Available, Rear view Camera, Service History Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4034,2015 Hyundai i20 Active,1.4 SX,₹ 6.4 Lakh,Jun-15,"90,000 km",Diesel,21.19 kmpl,Manual,White,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Alloy Wheels, Finance Available, Rear view Camera, Service History Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4035,2013 Audi A4,2.0 TDI Sline,₹ 12.25 Lakh,Jun-13,"90,000 km",Diesel,21.19 kmpl,Manual,White,Not Available,First,Registered at,"Less Driven, Non Accidental, Original Paint, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4036,2011 Honda City,1.5 V AT,₹ 3.75 Lakh,Jun-11,"82,000 km",Petrol,10.4 kmpl,Automatic,Gold,Not Available,Second,Registered at,"Original Paint, Non Accidental, Less Driven, Finance Available, Alloy Wheels, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4037,2015 Maruti Suzuki Ciaz,ZDi [2014-2015],₹ 5.75 Lakh,Jun-15,"78,000 km",Diesel,FWD ,Manual,Bronze,Not Available,First,Registered at,"Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Test Drive Available & Service History Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4038,2013 Audi A4,2.0 TDI Sline,₹ 12.31 Lakh,Jun-13,"61,000 km",Diesel,FWD ,Manual,Bronze,Not Available,First,Registered at,"Non Accidental, Less Driven, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Test Drive Available & Service History Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4039,2017 Honda City,VX CVT Petrol [2017-2019],₹ 9.85 Lakh,Jun-17,"67,100 km",Petrol,18 kmpl,Automatic,White,Not Available,Second,Registered at,"Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4040,2018 Honda City,V Diesel,₹ 8.5 Lakh,Jun-18,"50,000 km",Diesel,FWD ,Manual,Silver,Not Available,First,Registered at,"Less Driven, Non Accidental, Original Paint, Single Owner, Finance Available, Alloy Wheels, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4041,2012 Hyundai Verna,EX 1.6 CRDi [2017-2018],₹ 4.25 Lakh,Jun-12,"90,000 km",Diesel,FWD ,Manual,White,Not Available,First,Registered at,"TYRE GOOD 
INTIRIOR GOOD 
SINGAL OWNER 
EXCELLENT CONDITION, Original Paint, Non Accidental, Single Owner, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4042,2018 Mahindra Scorpio,S11 2WD 7 STR,₹ 8.5 Lakh,Jun-18,"50,000 km",Diesel,15 kmpl,Manual,Black,Not Available,First,Registered at,"Excellent Condition, Single Owner, Original Paint, Non Accidental, Less Driven, Certified Car, Test Drive Available, Alloy Wheels, Rear view Camera, Finance Available & Warranty Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4043,2011 Mercedes-Benz M-Class,350 CDI,₹ 11 Lakh,Jun-11,"1,45,000 km",Diesel,8.2 kmpl,Automatic,White,Not Available,First,Registered at,"Non Accidental, Original Paint, Single Owner, Finance Available, Test Drive Available, Rear view Camera & Alloy Wheels",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4044,2011 Toyota Innova,2.5 G4 7 STR,₹ 4.75 Lakh,Jun-11,"1,45,000 km",Diesel,11.4 kmpl,Manual,Gold,Not Available,First,Registered at,POWER STERING POWER WINDOWS CENTER LOCK TOCH SYSTEM INTIRIOR GOOD EXCELLENT CONDITION TYRE GOOD,4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4045,2018 Jaguar XF,2.2 Diesel Luxury,₹ 35 Lakh,Jun-18,"18,000 km",Diesel,RWD ,Automatic,White,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4046,2013 Renault Duster,110 PS RXZ 4X2 MT Diesel,₹ 4.65 Lakh,Jun-13,"85,000 km",Diesel,19.6 kmpl,Manual,Silver,Not Available,First,Registered at,"Non Accidental, Less Driven, Original Paint, Single Owner, Finance Available, Alloy Wheels, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4047,2014 Hyundai Elantra,CRDi Leather,₹ 6.95 Lakh,Jun-14,"44,200 km",Diesel,Manual - 5 Gears ,Manual,White,Not Available,First,Registered at,"Non Accidental, Less Driven, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4048,2011 Porsche Cayenne,Diesel,₹ 25 Lakh,Jun-11,"40,000 km",Diesel,13.88 kmpl,Automatic,Brown,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4049,2012 Mercedes-Benz M-Class,350,₹ 35 Lakh,Jun-12,"1,00,000 km",Petrol,6.6 kmpl,Automatic,White,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4050,2014 Mercedes-Benz GL-Class,350 CDI,₹ 35 Lakh,Jun-14,"84,000 km",Diesel,AWD ,Automatic,White,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4051,2011 Porsche Cayenne,S Diesel,₹ 27.5 Lakh,Jun-11,"40,000 km",Diesel,AWD ,Automatic,Bronze,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4052,2018 Hyundai Creta,SX 1.6 CRDi Dual Tone,₹ 10.9 Lakh,Jun-18,"1,00,000 km",Diesel,19.67 kmpl,Manual,White,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4053,2016 Mahindra XUV500,W10,₹ 10.5 Lakh,Jun-16,"84,000 km",Diesel,16 kmpl,Manual,White,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4054,2014 Skoda Octavia,Ambition 2.0 TDI,₹ 7.56 Lakh,Jun-14,"84,000 km",Diesel,20.6 kmpl,Manual,Blue,Not Available,Second,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Alloy Wheels, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4055,2013 Maruti Suzuki Alto 800,Lxi,₹ 2.45 Lakh,Jun-13,"19,000 km",Petrol,22.74 kmpl,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4056,2012 Audi A4,2.0 TDI Sline,₹ 7.9 Lakh,Jun-12,"1,00,000 km",Diesel,22.74 kmpl,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4057,2018 Jaguar XF,Pure Diesel CBU,₹ 36 Lakh,Jun-18,"19,000 km",Diesel,"Automatic - 8 Gears, Paddle Shift, Sport Mode ",Automatic,White,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4058,2019 Hyundai Venue,SX Plus 1.0 Turbo DCT,₹ 11.4 Lakh,Jun-19,"36,000 km",Petrol,18.15 kmpl,Automatic,White,Not Available,First,Registered at,"Immaculate Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4059,2016 Audi Q7,45 TDI Premium Plus,₹ 45 Lakh,Jun-16,"85,000 km",Diesel,14.75 kmpl,Automatic,Blue,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4060,2012 Toyota Fortuner,3.0 4x2 AT,₹ 12.5 Lakh,Jun-12,"1,00,000 km",Diesel,12.55 kmpl,Automatic,Black,Not Available,Second,Registered at,"Excellent Condition, Non Accidental, Original Paint, Single Owner, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4061,2015 Porsche Cayenne,S Diesel,₹ 50 Lakh,Jun-15,"65,000 km",Diesel,AWD ,Automatic,White,Not Available,First,Registered at,"Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Test Drive Available, VIP Number & Service History Available, Porsche Cayenne
Zero dep insurance upto 3/2023
LOADINGS
(BOSE MUSIC SYSTEM
PANAROMIC SUNROOF
AIRMATIC SUSPENSION
TAN & BROWN LEATHER INTERIORS
AUTOMATIC BOOT
SEATS WITH ALL ADJUSTMENTS
BACK CAMERA
REAR PRIVACY AUTOMATIC CURTAINS)
VIP NUMBER 0017",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4062,2013 Hyundai i20,Sportz 1.4 CRDI,₹ 2.98 Lakh,Jun-13,"60,000 km",Diesel,Manual - 5 Gears ,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, VIP Number, Test Drive Available, Service History Available, Rear view Camera, Finance Available, Alloy Wheels, Single Owner, Original Paint, Non Accidental & Less Driven",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4063,2013 Audi A4,2.0 TDI Sline,₹ 12.5 Lakh,Jun-13,"90,000 km",Diesel,Manual - 5 Gears ,Manual,Silver,Not Available,First,Registered at,"ALL ORIGINAL SINGAL OWNER INSURANCE FULL TYRE NEW INTIRIOR GOOD EXCELLENT CONDITION, Non Accidental, Original Paint, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4064,2013 Tata Safari,2.2 LX 4x2,₹ 4.9 Lakh,Jun-13,"82,000 km",Diesel,14 kmpl,Manual,White,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4065,2014 Hyundai Xcent,S 1.2,₹ 4.65 Lakh,Jun-14,"47,000 km",Petrol,19.1 kmpl,Manual,White,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Original Paint, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4066,2016 Audi Q7,45 TDI Premium Plus,₹ 45 Lakh,Jun-16,"85,000 km",Diesel,14.75 kmpl,Automatic,Blue,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4067,2012 Volkswagen Vento,Highline Diesel,₹ 3.3 Lakh,Jun-12,"89,000 km",Diesel,15.6 kmpl,Manual,White,Not Available,Second,Registered at,"Excellent Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4068,2011 Jaguar XJ,3.0 Diesel,₹ 20.95 Lakh,Jun-11,"40,000 km",Diesel,13.53 kmpl,Automatic,Green,Not Available,Second,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4069,2008 Mercedes-Benz C-Class,200 K MT,₹ 5.5 Lakh,Jun-08,"75,000 km",Petrol,13.53 kmpl,Automatic,Green,Not Available,Second,Registered at,"Original Paint, Non Accidental, Less Driven, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available
MANUAL GEAR",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4070,2015 Hyundai Verna,Fluidic 1.6 CRDi SX,₹ 5.75 Lakh,Jun-15,"82,000 km",Diesel,FWD ,Manual,Silver,Not Available,First,Registered at,"Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4071,2011 Jaguar XJ,3.0 Diesel,₹ 22.5 Lakh,Jun-11,"40,000 km",Diesel,13.53 kmpl,Automatic,Green,Not Available,Second,Registered at,"Excellent Condition, Non Accidental, Original Paint, Less Driven, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4072,2019 Hyundai Venue,SX Plus 1.0 Turbo DCT,₹ 11.5 Lakh,Jun-19,"36,000 km",Petrol,18.15 kmpl,Automatic,White,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4073,2012 Maruti Suzuki Ritz,Ldi BS-IV,₹ 2.65 Lakh,Jun-12,"75,000 km",Diesel,15.6 kmpl,Manual,White,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Original Paint, Single Owner, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4074,2015 Toyota Fortuner,3.0 4x2 MT,₹ 16.75 Lakh,Jun-15,"1,43,000 km",Diesel,11.9 kmpl,Manual,White,Not Available,First,Registered at,"Non Accidental, Original Paint, Single Owner, Alloy Wheels, Rear view Camera, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4075,2010 Mercedes-Benz E-Class,E350 CDI BlueEfficiency,₹ 8.75 Lakh,Jun-10,"68,000 km",Diesel,RWD ,Automatic,Silver,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Test Drive Available & Service History Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4076,2012 Jaguar XF,3.0 V6 S Premium Luxury,₹ 16.49 Lakh,Jun-12,"75,000 km",Diesel,RWD ,Automatic,Silver,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Test Drive Available & Service History Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4077,2012 Volkswagen Vento,Trendline Diesel,₹ 3.6 Lakh,Jun-12,"80,000 km",Diesel,175 / 70 R14 ,Manual,White,Not Available,Second,Registered at,"Excellent Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available & VIP Number",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4078,2018 Maruti Suzuki Alto,VXi [2014-2019],₹ 3.95 Lakh,Jun-18,"42,000 km",Petrol,24.07 kmpl,Manual,Grey,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Original Paint, Less Driven, Single Owner, Alloy Wheels, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4079,2016 Volkswagen Ameo,Highline1.2L (P) [2016-2018],₹ 4.8 Lakh,Jun-16,"49,000 km",Petrol,17.83 kmpl,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4080,2019 Toyota Fortuner,2.8 4x2 MT [2016-2020],₹ 33 Lakh,Jun-19,"40,000 km",Diesel,14.24 kmpl,Manual,Black,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Rear view Camera, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4081,2013 Volkswagen Polo,GT TSI,₹ 3.95 Lakh,Jun-13,"86,000 km",Petrol,FWD ,Automatic,White,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Original Paint, Alloy Wheels, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4082,2011 Ford Endeavour,3.0L 4x4 AT,₹ 4.9 Lakh,Jun-11,"88,000 km",Diesel,11.4 kmpl,Automatic,Black,Not Available,Third,Registered at,"Excellent Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4083,2018 Hyundai Verna,SX (O) 1.6 CRDi  AT,₹ 10.7 Lakh,Jun-18,"26,000 km",Diesel,FWD ,Automatic,White,Not Available,First,Registered at,"Immaculate Condition, Parsi Owned, Test Drive Available, Service History Available, Finance Available, Alloy Wheels, Original Paint, Non Accidental & Less Driven",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4084,2012 Jaguar XF,3.0 V6 S Premium Luxury,₹ 16.49 Lakh,Jun-12,"75,000 km",Diesel,FWD ,Automatic,White,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Test Drive Available & Service History Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4085,2018 Jaguar F-Pace,Pure,₹ 46 Lakh,Jun-18,"60,000 km",Diesel,4WD / AWD ,Automatic,White,Not Available,First,Registered at,"Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Service History Available, Test Drive Available & VIP Number,
TOP MODEL
Zero dep ins upto 2/2023
Brand new tyres",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4086,2013 Volkswagen Polo,Highline1.2L (D),₹ 3.85 Lakh,Jun-13,"80,000 km",Diesel,22.04 kmpl,Manual,White,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Service History Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4087,2019 Volkswagen Polo,Highline1.2L (P),₹ 6 Lakh,Jun-19,"42,000 km",Petrol,16.47 kmpl,Manual,Grey,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Service History Available & Test Drive Available",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4088,2011 Hyundai i20,Asta 1.2,₹ 2.56 Lakh,Jun-11,"80,000 km",Petrol,185 / 65 R14 ,Manual,White,Not Available,First,Registered at,"Very Good Condition, Single Owner, Alloy Wheels, Test Drive Available, Original Paint & Non Accidental",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4089,2011 Skoda Laura,Ambiente 2.0 TDI CR MT,₹ 3.75 Lakh,Jun-11,"80,000 km",Diesel,12.8 kmpl,Manual,Silver,Not Available,First,Registered at,"ALL ORIGINAL 
INTIRIOR NEW 
INSURANCE NL
ALOY WHEEL 
TYRE NEW
POWER STERING POWER WINDOWS CENTER LOCK MP3 SYSTEM EXCELLENT CONDITION MECHANICAL OK",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
4090,2012 Mercedes-Benz C-Class,250 CDI Classic,₹ 12.5 Lakh,Jun-12,"1,00,000 km",Diesel,RWD ,Automatic,Black,Not Available,Second,Registered at,"Excellent Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels, Finance Available, Test Drive Available & Rear view Camera",4.2/5,4.5/5,5-May,5-May,3.6/5,4.3/5,3.2/5,4.7/5,3.3/5
